               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,             0.09686,            0.069689,            0.065316,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.097005,            0.066617,            0.063597,           0.0014905,           0.0014905,           0.0014905
                  87,             0.09755,            0.067996,            0.065366,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096992,            0.066631,            0.063593,           0.0014283,           0.0014283,           0.0014283
                  88,            0.096944,            0.070759,            0.065855,          1.4815e-05,            0.002963,          9.2102e-06,          2.1254e-06,            0.096991,            0.066622,            0.063591,           0.0013701,           0.0013701,           0.0013701
                  89,            0.097005,            0.071182,            0.065991,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096993,            0.066633,            0.063588,            0.001316,            0.001316,            0.001316
                  90,            0.097357,            0.072161,            0.065303,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096987,            0.066624,            0.063585,            0.001266,            0.001266,            0.001266
                  91,             0.09707,            0.068008,            0.065384,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096984,            0.066626,            0.063583,           0.0012202,           0.0012202,           0.0012202
                  92,            0.096974,            0.069325,            0.065812,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096988,            0.066632,            0.063581,           0.0011787,           0.0011787,           0.0011787
                  93,            0.096769,            0.072172,            0.065176,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096993,            0.066635,            0.063579,           0.0011414,           0.0011414,           0.0011414
                  94,            0.097209,            0.065172,            0.065404,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096986,            0.066629,            0.063576,           0.0011084,           0.0011084,           0.0011084
                  95,            0.097374,            0.069869,            0.065437,          1.2963e-05,           0.0025926,          8.2779e-06,          2.1174e-06,            0.096974,            0.066634,            0.063573,           0.0010797,           0.0010797,           0.0010797
                  96,            0.097306,            0.071304,            0.065577,          1.2963e-05,           0.0025926,          8.2779e-06,          1.9328e-06,            0.096975,            0.066637,             0.06357,           0.0010554,           0.0010554,           0.0010554
                  97,            0.097496,            0.071153,            0.065361,          1.2963e-05,           0.0025926,          8.2779e-06,          1.9328e-06,            0.096981,            0.066632,            0.063568,           0.0010355,           0.0010355,           0.0010355
                  98,            0.097064,            0.068733,            0.065324,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,             0.09699,            0.066623,            0.063566,             0.00102,             0.00102,             0.00102
                  99,            0.096836,            0.067714,            0.065394,          1.2963e-05,           0.0025926,          8.2779e-06,          2.0321e-06,            0.096996,            0.066619,            0.063563,           0.0010089,           0.0010089,           0.0010089
